source_id,hotel_name,stay_date,hotel_stars,traveler_type,reviewer_country,rating_score,title,pos_text,neg_text
ba803fd157f84697e93e921f561da85c,PURO Wrocław Stare Miasto,May 2026,3,Business,Poland,8.0,Very good,The surrounding area and garden,"The bathroom has glass walls, it's uncomfortable and if I had known this beforehand, I would have chosen another hotel, even a more expensive one."
2fedab76ef9330c8761526bab81467c9,PURO Wrocław Stare Miasto,May 2026,3,Business,Poland,2.0,Very poor,,"Cramped rooms, light control via tablet, expensive breakfast not worth the price. The bathroom is mega cramped."
f9fd8fc7688a4b01f010cad431d33fa8,PURO Wrocław Stare Miasto,February 2026,3,Business,Poland,10.0,Exceptional,"Really great, PURO always at a high level.",
a15eae3be0d5b1e5f4623fef506a1d21,PURO Wrocław Stare Miasto,May 2026,3,Business,Germany,9.0,We'll be back! ☺️,"PURO is always a wonderful experience. No matter where you are. Extremely central location, beautifully furnished, super friendly staff. 👍🏻","Despite the coffee machine in the foyer (which is really great), I missed having one in my room.
The air conditioning was difficult to adjust or did not react as desired. But these are all first-world problems 😅"
4649eb10fb5399375095d7d4ab4b7acb,PURO Wrocław Stare Miasto,May 2026,3,Business,France,10.0,Great hotel in a great location for visiting Wroclaw’s old town.,"Service, location, comfort.",
532a8105e9757a3289dcf9c8ff2d827a,PURO Wrocław Stare Miasto,May 2026,3,Business,Germany,10.0,"Centrally located, good!",the bed and the location,the bathroom is too small
febd4724f5c029fde25faddef824c743,PURO Wrocław Stare Miasto,April 2026,3,Business,Sweden,9.0,Really nice,Room,Nothing
5953bc11762ee5a42cd23fc89e3860d7,PURO Wrocław Stare Miasto,April 2026,3,Business,United Kingdom,9.0,This place is a home from home; a great base from which to explore Wroclaw and beyond.,"Cosy vibes
Staff weee fantastic; helpful and informative
Pleasant atmosphere
Excellent service",Lacking outdoor seating
21694d9d3567d3f7e1475d8833e54266,PURO Wrocław Stare Miasto,April 2026,3,Business,Poland,10.0,Exceeded my expectations,"Great hotel in good location near the city center. The room was very clean, the building and the room felt very new.",
18f6dae8e73c009ab9aeb3e8c6da66ec,PURO Wrocław Stare Miasto,April 2026,3,Business,Poland,10.0,weekend ;),"Everything is a big plus, location, breakfast, service and design ;)
Free coffee and tea machine in the lobby... garden...
I'll be back at the earliest opportunity",I didn't find such a thing ;)
e40da5a41b4a19b25081a0f8cf8f874f,PURO Wrocław Stare Miasto,March 2026,3,Business,Poland,9.0,Superb,24-hour access to coffee and tea making facilities,
f9fd8fc7688a4b01f010cad431d33fa8,PURO Wrocław Stare Miasto,March 2026,3,Business,Poland,10.0,Exceptional,"Great location near the market square, cozy, nice room, very friendly service. It's worth going back there. The hotel focuses on quality, which is evident, among other things, in: by what the bedding is like: soft and fluffy and a comfortable mattress guarantee a good night's sleep. I don't want to get up and leave.",lack
9b0a6e74082633518f9003052ffaaaf0,PURO Wrocław Stare Miasto,March 2026,3,Business,Poland,10.0,I got a good night's sleep for all the times!!,"Comfortable beds, coffee available, silence",
621b122cb35bd23f3819914c5b4b6637,PURO Wrocław Stare Miasto,March 2026,3,Business,Poland,9.0,Have a great stay.,"An elegant building with the possibility of parking in the underground garage.
Nice, clean and tidy rooms.
Large and very comfortable beds.
Tablet control with the option of ordering food to your room.
High-quality service, friendly attitude towards guests.
Delicious breakfasts.",Very narrow entrance to the garage.
d985e8364c04fc3e8e7ec0db5492a528,PURO Wrocław Stare Miasto,February 2026,3,Business,Germany,2.0,"Generally, rooms that are undergoing renovation should be excluded from circulation, I don't come to the hotel for that.",the duvet and pillow are very comfortable,renovation and drilling
542899b9887827423dd5df99c204565a,PURO Wrocław Stare Miasto,February 2026,3,Business,Poland,8.0,I recommend,"cozy, clean room, quiet in the hotel although there were a lot of people at breakfast",
e40da5a41b4a19b25081a0f8cf8f874f,PURO Wrocław Stare Miasto,February 2026,3,Business,Italy,9.0,Superb,"Comfortable and quiet rooms, excellent breakfast.","Breakfast in an outdoor room, accessible only from the street, is not the best, especially in winter, when it snows or rains."
b7fdf64337d7567c44187bd4ab59999e,PURO Wrocław Stare Miasto,February 2026,3,Business,Poland,4.0,Glass walls in bathrooms….,Qualified and courteous staff,"Glass walls in the toilet in the room.
No space in the downstairs hallway for an online meeting.
Loud music in the corridor - the hotel is unfriendly to elderly people and people with disabilities"
5a569ab663ffb60359673ae2f4cf7267,PURO Wrocław Stare Miasto,February 2026,3,Business,Poland,10.0,"Comfortable, very nice","Great location, very nice and helpful staff. Clean rooms, delicious coffee in the lobby.
Better organization during breakfast would be useful.
I always come back to Puro with pleasure!",
e763aa68d44092cc930561de69d81df9,PURO Wrocław Stare Miasto,February 2026,3,Business,Poland,8.0,Comfortable location with remarkable interior design very close (8min walk) to the Old Market Square.,Breakfast sets (esp. avocado toast) were delicious.,Much needed hard pillows should be standard equipment in the rooms; missing coffee/tea options in standard rooms.
ba803fd157f84697e93e921f561da85c,PURO Wrocław Stare Miasto,January 2026,3,Business,Sweden,8.0,Very good,Modern and fresh,
f9d57bdb2820b39f11397fad3d19bc5f,PURO Wrocław Stare Miasto,January 2026,3,Business,Poland,9.0,"Great location, very friendly service, comfortable room, impeccable cleanliness.","Great location - just a few steps from the Market Square, very friendly staff, comfortable room, impeccable cleanliness, as well as all the amenities, a truly great option for a visit to Wrocław.","Due to the restaurant's renovation, breakfast is served in the building next door and unfortunately the offer is not as rich as usual or in other hotels in the chain, but this is temporary."
6d92afea9514a332d7767cad0fa44d9f,PURO Wrocław Stare Miasto,January 2026,3,Business,Poland,3.0,Overpaid stay,What I liked most about the facility was the renovated part of the lobby and that's it. The place looks completely different online than in person. It is much smaller and unfinished.,"The conditions offered by the hotel were, in my opinion, inadequate to the price. Puro is positioned as a high-end facility, so my expectations were higher - unfortunately, they were not met. The rooms turned out to be very small and differed significantly from what the photos presented. The corridors are cramped and give an unpleasant impression, and the tablets placed on the walls, which were supposed to emphasize modernity, give the impression of excessive control on the part of the staff. Additionally, the staff seemed unengaged and dissatisfied with their work. I rate the whole thing definitely negatively."
ba803fd157f84697e93e921f561da85c,PURO Wrocław Stare Miasto,January 2026,3,Business,Poland,8.0,Very good,,Construction zone
2b3f35642311c0527dacb9662203e78e,PURO Wrocław Stare Miasto,December 2025,3,Business,Germany,8.0,It's worth it,A wonderful breakfast,
c0af4904b846d0c46ab706b1ec88d97c,PURO Wrocław Stare Miasto,December 2025,3,Business,Poland,10.0,"Business or romantic, you will be satisfied in both cases","Design, service, ""management"" room via tablet, location, free takeaway coffee.",Let's not be petty ;)
d2efb5af8fcb4554767e53b460391474,PURO Wrocław Stare Miasto,November 2025,3,Business,Poland,10.0,Great place with great people,"Very nice staff, super comfortable bed",Small parking lot
2fedab76ef9330c8761526bab81467c9,PURO Wrocław Stare Miasto,October 2025,3,Business,Poland,2.0,Very poor,,"We were given a dirty room, which was replaced after the intervention, but the next one also had a mediocre bathroom, breakfast was very expensive, despite the payment, they tried again) Delete them 2x. Much better and cheaper breakfasts in numerous cafes in the area. Shortly after checking out, I called to ask for an invoice - it was supposed to be no problem, but the next day I received a rejection email. I do not recommend."
c439fc8075ffceff83ac9677c694af3b,PURO Wrocław Stare Miasto,November 2025,3,Business,Germany,10.0,Will come back.,"Excellent location, close to all main attractions. The room was great, very clean. The breakfast was also very good, and the staff very helpful and very friendly. The bar is also quite nice. There are also many restaurants and bars nearby.",
54194b86740db0c8ae9978fadddbce08,PURO Wrocław Stare Miasto,September 2025,3,Business,Poland,7.0,Good,Position,"An event organized downstairs in the hotel (wedding reception) it was loud, luckily it ended before 10pm."
f9fd8fc7688a4b01f010cad431d33fa8,PURO Wrocław Stare Miasto,October 2025,3,Business,Poland,10.0,Exceptional,Well-thought-out room arrangement.,No fridge in the room.
f9fd8fc7688a4b01f010cad431d33fa8,PURO Wrocław Stare Miasto,October 2025,3,Business,Ireland,10.0,Exceptional,The cosy vibe,
f9fd8fc7688a4b01f010cad431d33fa8,PURO Wrocław Stare Miasto,October 2025,3,Business,Poland,10.0,Exceptional,"Great hotel, beds are super comfortable, room is a bit small, price is a bit high, at this price it should include breakfast.","Parking - occupied. When booking a hotel, there should already be a room. ;("
be8189e312bf0eec19db6103f270060c,PURO Wrocław Stare Miasto,August 2025,3,Business,Poland,10.0,"Amazing locarion, great designer interior and helpful smiling staff. I even got a welcome drink for the stay.","Everything, interior, location, staff is great.",None
f9fd8fc7688a4b01f010cad431d33fa8,PURO Wrocław Stare Miasto,September 2025,3,Business,Poland,10.0,Exceptional,"Very nice staff, great breakfasts",
e4b099e5bcde65f45bcc33f15ae02202,PURO Wrocław Stare Miasto,September 2025,3,Business,Poland,10.0,A comfortable and beautiful place to stay in Wrocław.,"Decor, garden and location",No oat or coconut milk
49e9530df22ba85e1a82df84d2f86790,PURO Wrocław Stare Miasto,September 2025,3,Business,Poland,10.0,Another puro hotel where I felt great,Cleanliness and hospitality,Everything was great
3fc1f476448bc31805c5c7bcd8e231ef,PURO Wrocław Stare Miasto,September 2025,3,Business,Poland,10.0,Staying at the Puro hotel is pure pleasure:),"Great decor and customer service! Well-thought-out solutions, such as a workspace with coffee available and a relaxation zone designed so that everyone can find their place there :)",
6b92a0cbd8acc21d8e722862a32c7129,PURO Wrocław Stare Miasto,September 2025,3,Business,Poland,10.0,Loved it,"Pretty much everything was great - the hotel is clean and in good condition, staff was very friendly, our room was clean, location is great and even the breakfast was delicious","The soundproofing on the room door could be better, but it’s nitpicking considering our stay at a whole"
7aad05e086c981866de4501d48b7910c,PURO Wrocław Stare Miasto,September 2025,3,Business,Poland,7.0,a successful and active weekend in the cryochamber ;),"Fantastic location - in the city center, so close to everything, yet quiet.
Great service, helpful.
The rooms are clean and tidy.
Patio - perfect for relaxing.","Whereas:
1. despite the intervention of the very nice staff, their efforts and resetting the systems - the rooms were extremely cold.
2. There is not even a small gym in the hotel, so any early morning physical activity - the closest one is a few hundred meters from the hotel.
3. the bathrooms have no insulation - people staying in the room and bathroom can communicate in whispers, so if you're going on a romantic weekend, then...
;)"
f247742c0e14e9c13619b327648d53c3,PURO Wrocław Stare Miasto,September 2025,3,Business,Canada,9.0,Modern hotel with smart rooms,The rooms are small but well laid out. Staff very helpful. Tablet controls all functions in the room which had more options for lighting and ventilation. Rooms also super quiet.,"Amenities were sparse - for example, would have like Kleenex and I hate it when there is only one liquid soap for hair and body!"
f9fd8fc7688a4b01f010cad431d33fa8,PURO Wrocław Stare Miasto,August 2025,3,Business,Poland,10.0,Exceptional,Everything is great.,The only thing missing was a mirror in the room.
98c7c94f7f2dc2607fb391c1e29cdc54,PURO Wrocław Stare Miasto,August 2025,3,Business,United States,9.0,Lovely hotel in Wroclaw!,"I stayed 3 nights at PURO Hotel in Wroclaw Stare Miasto for work in August 2025. It's a reasonably priced hotel with comfortable rooms. The check-in and check-out process was easy. It's close to the town square by foot, which made getting lunch or dinner convenient. The breakfast was fantastic! I would recommend that to everyone!","I wish the bathroom was designed slightly differently. The shower area has an open access, which meant water spray got onto the floor of the main bathroom -- annoying. I also wasn't confident if my air conditioning was working or not -- I never felt air flow from the vents, which meant it felt a little stagnant in the room at night. I typically like a little bit of airflow while sleeping."
f54b0c29b0cd69fcac6c61d17e1326b2,PURO Wrocław Stare Miasto,August 2025,3,Business,Netherlands,9.0,Excellent!,"Clean, stylish and comfortable",
f9fd8fc7688a4b01f010cad431d33fa8,PURO Wrocław Stare Miasto,August 2025,3,Business,Poland,10.0,Exceptional,Great breakfast with the option to order a la carte,
f9fd8fc7688a4b01f010cad431d33fa8,PURO Wrocław Stare Miasto,August 2025,3,Business,Poland,10.0,Exceptional,Super tasty,
c3977f007e63a742be10c360ab05b5c6,PURO Wrocław Stare Miasto,August 2025,3,Business,Poland,10.0,beautiful and comfortable,"Beautiful location, on one side a charming street, on the other a walking and cycling path. Nicely arranged common spaces. Good communication with reception, also before arrival regarding a taxi from the airport. Varied and tasty breakfast. Possibility to make coffee/tea/chocolate in the hall. Very comfortable, soft pillows.",It is not possible to completely turn off the air conditioning/heating. No decaf coffee at breakfast.
c8148037155597571dc5ecf7e64ba2f2,PURO Wrocław Stare Miasto,June 2025,3,Business,Poland,10.0,"As always, at the highest level.","My favorite place in Wrocław, I come back every time. Great design, very nice and helpful staff, great breakfasts.",Weather :)
f9fd8fc7688a4b01f010cad431d33fa8,PURO Wrocław Stare Miasto,August 2025,3,Business,Poland,10.0,Exceptional,"Don't be fooled by the stars, the hotel is definitely above that! The best breakfast I've ever had in a hotel - great quality :) comfortable bed, great service. The downside is that you have to walk a bit to get to the gym, but for passionate athletes this won't be a problem. Parking 100 PLN/day, it could be cheaper, but Wrocław is expensive in this respect. Dogs for free :)",
ab143987f3fe961c5f09114bad94a840,PURO Wrocław Stare Miasto,August 2025,3,Business,Poland,8.0,Real good and fun,"Location and layout, size of bed window view size of shower",Rooms feel a bit claustrophobic for a longer stay
