hotel_name,hotel_stars,total,wonderful_9plus,good_7to9,fair_5to7,poor_3to5,very_poor_1to3,negative_total,type_families,type_couples,type_group_of_friends,type_solo_travellers,type_business_travellers,languages_json
PURO Wrocław Stare Miasto,3,3858,3154,608,70,16,10,96,942,1915,390,611,693,"{""en"": 779, ""pl"": 2046, ""ru"": 47, ""uk"": 43, ""de"": 514, ""es"": 57, ""tr"": 1, ""fr"": 27, ""it"": 91, ""zh"": 6, ""ko"": 2, ""nl"": 40, ""ro"": 3, ""pt"": 9, ""ja"": 1, ""cs"": 98, ""sk"": 11, ""el"": 4, ""hu"": 3, ""no"": 12, ""sv"": 10, ""da"": 6, ""et"": 1, ""fi"": 10, ""he"": 15, ""bg"": 5, ""lt"": 7, ""hr"": 3, ""lv"": 2, ""ca"": 1, ""is"": 1}"
Campanile PRIME - Wroclaw Stare Miasto,3,4076,1706,1670,449,179,72,700,1701,1303,462,610,556,"{""en"": 295, ""pl"": 2843, ""ru"": 179, ""uk"": 151, ""de"": 153, ""zh"": 2, ""es"": 53, ""tr"": 12, ""fr"": 32, ""it"": 159, ""ja"": 1, ""nl"": 18, ""pt"": 8, ""ro"": 9, ""cs"": 81, ""sv"": 10, ""ar"": 1, ""hu"": 9, ""da"": 7, ""sk"": 13, ""no"": 1, ""bg"": 12, ""lt"": 9, ""fi"": 2, ""el"": 6, ""sr"": 1, ""hr"": 1, ""id"": 1, ""lv"": 3, ""ca"": 3}"
Hotel Dikul Market Square Wroclaw,3,4470,2068,1605,433,177,187,797,657,2193,515,1105,781,"{""en"": 645, ""pl"": 2042, ""ru"": 248, ""uk"": 179, ""de"": 479, ""es"": 123, ""tr"": 17, ""fr"": 79, ""it"": 152, ""zh"": 7, ""ko"": 3, ""nl"": 65, ""ro"": 15, ""pt"": 19, ""ja"": 2, ""cs"": 134, ""sk"": 36, ""el"": 19, ""vi"": 1, ""hu"": 11, ""no"": 8, ""ar"": 1, ""sv"": 25, ""id"": 1, ""da"": 13, ""et"": 9, ""fi"": 26, ""he"": 5, ""bg"": 15, ""sr"": 2, ""th"": 2, ""lt"": 61, ""lv"": 13, ""sl"": 4, ""ca"": 7}"
Hotel Gem,3,1688,1031,542,76,25,14,115,499,322,239,628,492,"{""en"": 124, ""pl"": 1198, ""ru"": 46, ""uk"": 37, ""de"": 106, ""es"": 4, ""tr"": 3, ""fr"": 8, ""it"": 16, ""nl"": 10, ""pt"": 2, ""cs"": 77, ""sk"": 13, ""hu"": 5, ""no"": 1, ""sv"": 4, ""da"": 4, ""et"": 2, ""fi"": 5, ""lt"": 15, ""hr"": 2, ""lv"": 5}"
Europeum Hotel,3,2947,2138,732,58,11,8,77,1225,1132,382,208,263,"{""en"": 493, ""pl"": 1045, ""ru"": 53, ""uk"": 28, ""de"": 645, ""zh"": 3, ""es"": 67, ""tr"": 2, ""fr"": 58, ""it"": 143, ""ko"": 12, ""ja"": 2, ""nl"": 36, ""pt"": 11, ""ro"": 7, ""cs"": 172, ""sv"": 14, ""hu"": 16, ""da"": 6, ""he"": 22, ""sk"": 26, ""no"": 6, ""bg"": 7, ""lt"": 25, ""fi"": 12, ""el"": 15, ""et"": 3, ""sr"": 1, ""sl"": 1, ""hr"": 6, ""lv"": 3, ""ca"": 3}"
Hotel Śląsk,3,3172,1396,1342,289,108,37,434,451,1363,422,936,662,"{""en"": 218, ""pl"": 2088, ""ru"": 124, ""uk"": 81, ""de"": 271, ""es"": 31, ""tr"": 3, ""fr"": 23, ""it"": 30, ""zh"": 6, ""ko"": 3, ""nl"": 41, ""ro"": 14, ""pt"": 3, ""cs"": 115, ""sk"": 13, ""el"": 4, ""hu"": 15, ""no"": 3, ""ar"": 1, ""sv"": 14, ""id"": 1, ""da"": 8, ""et"": 6, ""fi"": 7, ""bg"": 8, ""lt"": 26, ""lv"": 14, ""sl"": 1}"
Hotel Orbita,3,201,87,75,25,8,6,39,73,45,10,73,48,"{""en"": 6, ""pl"": 148, ""ru"": 15, ""uk"": 8, ""tr"": 1, ""it"": 1, ""zh"": 2, ""ko"": 1, ""nl"": 2, ""ro"": 1, ""ja"": 1, ""cs"": 6, ""sk"": 1, ""hu"": 2, ""da"": 1, ""et"": 1, ""fi"": 1, ""he"": 1, ""sr"": 1, ""lt"": 1}"
Jasek Premium Hotel Wrocław,3,1471,833,488,107,30,13,150,460,203,117,691,559,"{""en"": 120, ""pl"": 874, ""ru"": 93, ""uk"": 38, ""de"": 118, ""es"": 5, ""tr"": 4, ""fr"": 12, ""it"": 5, ""zh"": 1, ""ko"": 1, ""nl"": 15, ""pt"": 1, ""cs"": 42, ""sk"": 5, ""el"": 1, ""hu"": 3, ""no"": 1, ""sv"": 5, ""da"": 3, ""et"": 9, ""fi"": 5, ""he"": 1, ""sr"": 1, ""lt"": 65, ""lv"": 42, ""sl"": 1}"
Novotel Wrocław City,3,2343,1425,757,118,31,12,161,1264,550,143,386,423,"{""en"": 266, ""pl"": 1447, ""ru"": 88, ""uk"": 92, ""de"": 156, ""es"": 10, ""tr"": 2, ""fr"": 26, ""it"": 21, ""zh"": 2, ""ko"": 11, ""nl"": 15, ""ro"": 2, ""pt"": 3, ""ja"": 3, ""cs"": 98, ""sk"": 12, ""el"": 2, ""vi"": 3, ""hu"": 5, ""no"": 1, ""ar"": 2, ""sv"": 7, ""da"": 3, ""et"": 2, ""fi"": 1, ""he"": 5, ""bg"": 2, ""lt"": 43, ""hr"": 2, ""lv"": 11}"
Weiser Hotel,3,3468,2038,1016,266,92,56,414,1505,949,295,719,749,"{""en"": 264, ""pl"": 2456, ""ru"": 155, ""uk"": 156, ""de"": 100, ""es"": 11, ""tr"": 4, ""fr"": 28, ""it"": 42, ""zh"": 3, ""nl"": 12, ""ro"": 3, ""pt"": 2, ""ja"": 2, ""cs"": 136, ""sk"": 14, ""el"": 7, ""vi"": 1, ""hu"": 5, ""no"": 6, ""ar"": 1, ""sv"": 3, ""da"": 3, ""et"": 7, ""fi"": 1, ""he"": 1, ""bg"": 8, ""lt"": 21, ""hr"": 2, ""lv"": 10, ""sl"": 2}"
