source_id,hotel_name,stay_date,hotel_stars,traveler_type,reviewer_country,rating_score,title,pos_text,neg_text
429ce7e0e824def680141493b9b40458,Hotel Monopol,December 2024,5,Business,Poland,7.0,May be,,"Only one pillow to sleep on, you have to ask for a second one, the shower head is broken, the room and bathroom are not very cozy"
87299574232d8c77c7ce16b6f4cab172,Hotel Śląsk,March 2025,3,Business,Poland,9.0,Superb,"Large parking lot, clean rooms",The restaurant does not impress with the quality of the dishes.
a080ebd9725bf586d0b25de2e30c2ba9,Hotel Śląsk,March 2025,3,Business,Latvia,10.0,Exceptional,"There was a large selection of food for breakfast, and food was great.",
83f786f229b36c9da4b7329b7d23ac3c,Hotel Śląsk,March 2025,3,Business,Romania,6.0,Pleasant,cleaning,"The noise of the elevators, which woke me up several times!
Also, you are required to pay for parking!
In the ad on Booking, it is stated to us!"
a4d9294ef9b8c8b219de3f8a7032ae07,Hotel Śląsk,March 2025,3,Business,Poland,6.0,For one night ok.,"Varied breakfast - tasty; Kettle, tea, coffee available in the room; Elevator; Good food in the restaurant;",Paid parking belonging to the hotel; No sockets near the bed; Uncomfortable beds; Lack of basic TV channels;
83f786f229b36c9da4b7329b7d23ac3c,Hotel Śląsk,February 2025,3,Business,Poland,6.0,Pleasant,"A varied breakfast, a large selection, including żurek (sour rye soup), which I love.","I arrived at 9 p.m. hoping to have dinner there. It turned out that the restaurant was closed even though the website said it was open until 10 p.m. At the reception I got the answer: ""Should I cancel my reservation?..."
fd5bc9d7479316611f30f68d62763665,Hotel Śląsk,January 2025,3,Business,Poland,8.0,Very good,Service,
daf24a70e972ba3dbd13a4fb584b46b7,Hotel Śląsk,February 2025,3,Business,Poland,7.0,Good,"Friendly service, very clean and close to the center",
fd5bc9d7479316611f30f68d62763665,Hotel Śląsk,February 2025,3,Business,Poland,8.0,Very good,Position,"The staff were generally good (restaurant and housekeeper), but the ladies at reception could be a bit more professional and friendly."
a080ebd9725bf586d0b25de2e30c2ba9,Hotel Śląsk,February 2025,3,Business,Poland,10.0,Exceptional,"Very nice hotel, good food in the restaurant, nice staff",
