source_id,hotel_name,stay_date,hotel_stars,traveler_type,reviewer_country,rating_score,title,pos_text,neg_text
85fa36226b47eb4775262a6e4399b123,Hotel Orbita,March 2026,3,Business,Netherlands,7.0,Otherwise a fine place to stay during transit.,Good and easy to find,"Grumpy receptionist, could barely say a word"
68c22d4304f1d1ca698a183cf689c8ce,Hotel Orbita,March 2026,3,Business,Poland,7.0,"Clean, tidy and fast",Breakfasts,No dedicated parking as described in the offer
b5edaceda6e1044e2ea90d0ac94c0334,Hotel Orbita,February 2026,3,Business,Poland,8.0,"If I were to stay overnight in Wrocław on this budget, there would be no","Great service, delicious breakfast, location is also perfect","It's quite cold in the room,"
fc7766ac22e7f9f39ebb91530b248c1b,Jasek Premium Hotel Wrocław,May 2026,3,Business,Poland,4.0,Disappointing,,Disabled facilities: none
5c1af4c7d0588f73d769e976e6311b52,Jasek Premium Hotel Wrocław,April 2026,3,Business,Estonia,7.0,Better than expected!,"Nice value for money I think. Bed was big enough so I could sleep diagonally without feet hanging out. WiFi speed was good when it worked (mostly). Breakfast was varied and plentiful, better than most hotels.","WiFi had some moments when I lost connection, computer protection sofware was warning me constantly, that there was suspicious traffic in the system, maybe a settings issue rather then real. Room little worn down, the shower drain was pretty clogged."
d24ee8062efc97e622d4800113e32017,Jasek Premium Hotel Wrocław,March 2026,3,Business,Poland,6.0,Pleasant,"Service in the restaurant at breakfast. I really liked the carpeting in the hotel. Parking is very convenient. Breakfast was excellent, food in the restaurant excellent. Beautiful chandelier in the entrance.","Status of fire protection. Uncomfortably soft beds. The shower door wouldn't close and there was no liquid in the shower, only soap, so I couldn't wash my hair. The towel seemed small, smaller than a standard 70x140 bath towel."
ea3f885726ef55927616d8c2b7145e42,Jasek Premium Hotel Wrocław,March 2026,3,Business,Poland,9.0,Superb,"Nice hotel. Very nice service. Purely. Plus, free parking and a pet fee for the entire stay. A bit too dark in the room. Breakfasts were very good, although the options for meat eaters predominated, vegetarians will choose something. Outside the hotel grounds you can walk your dog, which is also a big plus. The bed is very comfortable.",Light in the room. Too dark. You need to turn on all the floor lamps to make it ok. But then there is a problem with connecting chargers or laptops.
2e224305fd4c1a3eb360a307e4647c7f,Jasek Premium Hotel Wrocław,March 2026,3,Business,Poland,9.0,I recommend it and I will come back,Breakfast is truly royal. Really great soups and desserts,Artificial flowers because I don't like them
0c5412b33d755d6afa5f7f91a2224679,Jasek Premium Hotel Wrocław,March 2026,3,Business,Poland,10.0,Exceptional,"I really liked this hotel. Nice, friendly service. Clean, pleasant, nice. I often travel for business and if it's Wrocław, then I choose Jasek🥰","Cleanliness, welcoming atmosphere, peace."
0c5412b33d755d6afa5f7f91a2224679,Jasek Premium Hotel Wrocław,March 2026,3,Business,Poland,10.0,Exceptional,"Easy access, nice entrance.",A bit grey for me. The decor needs refreshing.
906d74988a759584df705d0bc357bd2b,Jasek Premium Hotel Wrocław,January 2026,3,Business,Latvia,8.0,Very good,"Location, breakfast, friendly staff, convenient parking!","I ordered a steak for dinner at a restaurant, it was the most terrible steak! I don't recommend it, they don't know how to cook it, it's better to order something else if you're hungry."
0cf0b3a9ce484b1a43fa092c15f0c44d,Jasek Premium Hotel Wrocław,February 2026,3,Business,Poland,5.0,The price does not match the quality :(,The biggest advantage of this hotel is its location,"No drinking water in the room. The carpet is dirty - at first glance it looks clean, but there is a lot of dust in the corners, and the vacuuming was done very imprecisely. The parking lot was completely icy and unpaved, as was the hotel exit. Before 8:00 a.m. the grounds were literally an ice rink. This cannot be explained by weather conditions – it is simply negligence on the part of the facility. The lack of any security measures is unacceptable and poses a real threat to guests. This situation shouldn't happen"
0309532fef96685bff3025c8a5cb6ea6,Hotel Orbita,April 2026,3,Business,France,10.0,Have a nice day to all Orbita management!,"Everything is top notch, recently renovated, everything is fresh and beautiful!","I liked everything, I will stay here again in the future!"
8df5a36ab11ddf79c991855c385f42ea,Jasek Premium Hotel Wrocław,February 2026,3,Business,Poland,9.0,"I am satisfied with my stay. Next time I come to Wrocław, I will return to this hotel.","Breakfast was great. I also used the restaurant, the dinner was very good in terms of quality and price.","Menu in the restaurant - lunch dishes are sufficient, but there are no dishes or sets typical for dinner."
e835f13f72ed8467f1ae8c635bda5f6b,Hotel Orbita,April 2026,3,Business,Poland,7.0,Good,clean in the room,bathroom and shower that could not be used otherwise than by flooding the bathroom
83f786f229b36c9da4b7329b7d23ac3c,Hotel Śląsk,February 2025,3,Business,Poland,6.0,Pleasant,"A varied breakfast, a large selection, including żurek (sour rye soup), which I love.","I arrived at 9 p.m. hoping to have dinner there. It turned out that the restaurant was closed even though the website said it was open until 10 p.m. At the reception I got the answer: ""Should I cancel my reservation?..."
fd5bc9d7479316611f30f68d62763665,Hotel Śląsk,February 2025,3,Business,Poland,8.0,Very good,Position,"The staff were generally good (restaurant and housekeeper), but the ladies at reception could be a bit more professional and friendly."
a78f2f080227795862cfb1381958c8eb,Hotel Śląsk,February 2025,3,Business,Lithuania,8.0,suitable for indiscriminate travelers,"The location is good for our purpose of travel, but the views around and through the windows are like deep Soviet times. Good breakfast, delicious food in the restaurant, but the staff is too busy preparing breakfast to pay enough attention to the restaurant guests.","Paid parking, even if it is fenced, the surroundings and the view from the windows"
fd5bc9d7479316611f30f68d62763665,Hotel Śląsk,February 2025,3,Business,Poland,8.0,Very good,"The plus is that it's right next to the stadium. The hotel is clean and there is nothing to complain about, although it is a bit old, but I highly recommend it.",Everything's all right. I recommend
d07e73828509eccdfa111aefd96ceac7,Hotel Śląsk,February 2025,3,Business,Poland,6.0,Okay,Service,Expensive poor food
fd5bc9d7479316611f30f68d62763665,Hotel Śląsk,December 2024,3,Business,Poland,8.0,Very good,Room availability,"Paid parking, the hotel's glory days are far behind it"
b31209c0bd6d97d3fe0b6dba2f93c99c,Hotel Śląsk,January 2025,3,Business,Poland,9.0,"It was good, but I recommend asking guests if they want to clean up","Large parking lot, very friendly service, comfortable bed, cleanliness","I don't remember asking for my room to be cleaned, so I was surprised when I came back in the evening and the room looked different. It wasn't necessarily a pleasant surprise, I left everything there thinking that no one would come in since I had the card and there was nothing to clean up."
6efb5f5357d9b5de67a937031841e4da,Hotel Śląsk,December 2024,3,Business,Poland,8.0,I recommend the Śląsk hotel as a quick business trip,"nice reception, you can talk and arrange everything, but the previous visit was less pleasant in this respect",There is nothing I don't like
08a1615785dce1f569d418d422aff151,Hotel Śląsk,December 2024,3,Business,Poland,3.0,Skip this hotel,Location,"A gloomy, dark room, decorated in a communist-era apartment building. Dilapidated old elevators. You have to pay separately for beer with lunch and dinner because they don't have a license. I won't go there again"
810b40c7bf4efdaa9a5ab7d070b4ea39,Hotel Śląsk,December 2024,3,Business,Poland,7.0,It was ok,"Delicious breakfast and very nice service in the restaurant. Clean room, hot water in the shower 🙂","The service at the reception was very formal, without a smile or hospitality. Paid parking, where it was difficult to find a space due to the special event."
87299574232d8c77c7ce16b6f4cab172,Hotel Śląsk,December 2024,3,Business,Poland,9.0,Superb,Meals,The color of the lighting in the interior of the room - the cold color of the lamps.
fd5bc9d7479316611f30f68d62763665,Hotel Śląsk,December 2024,3,Business,Poland,8.0,Very good,"Location, good and fast public transport connection, fantastic breakfasts, nice staff.","Although I was informed about the event 3 days before arrival with a proposal to change the date of my stay, I could not cancel the planned meetings. It was indeed loud until 3 a.m. - the hotel offers earplugs (they passed the test, fortunately)."
