source_id,hotel_name,rating_score,title,pos_text,neg_text,stay_duration,stay_date,room_type,traveler_type,hotel_stars,hotel_district,reviewer_country,stay_date_dt,month,season,is_local,pos_sentiment_score,neg_sentiment_score,text_sentiment_avg
b2cddfac1bffac30216023fe730f449e,Deluxe Apartments by The Railway Station Wroclaw - parking w cenie,6.0,"overal it was ok for the money, but wouldn’t stay again, pictures are completely different than reality",nice location and big apartment with parking included,"the room was smelling like cigarettes quote a lot, and it simply felt not the cleanest",1,November 2025,Duplex Apartment,Couple,3,Krzyki,Slovakia,2025-11-01,11,Autumn,0,0.4215,0.3612,0.39135
4e50ee6f691ff314cff81027eb87b7be,Deluxe Apartments by The Railway Station Wroclaw - parking w cenie,8.0,Generally good.,Good location.,The bra doesn’t work. Kitchen ware bad condition.,2,December 2025,Duplex Apartment,Group,3,Krzyki,Ukraine,2025-12-01,12,Winter,0,0.4404,-0.5423,-0.050949999999999995
70197b9d0e7bc3fea52279a720e30e9e,Deluxe Apartments by The Railway Station Wroclaw - parking w cenie,8.0,Very good,The location was great and the staff very kind and helpfull!,The sofa bed wasn't confortable for sleep.,1,December 2025,One-Bedroom Apartment,Group,3,Krzyki,Romania,2025-12-01,12,Winter,0,0.8436,0.0,0.4218
70197b9d0e7bc3fea52279a720e30e9e,Deluxe Apartments by The Railway Station Wroclaw - parking w cenie,8.0,Very good,The private garage and near to the center,Nothing,1,December 2025,One-Bedroom Apartment,Solo traveller,3,Krzyki,Germany,2025-12-01,12,Winter,0,0.0,0.0,0.0
d9a5f62d2e55d2cfa2f8268f3c92cb2d,Deluxe Apartments by The Railway Station Wroclaw - parking w cenie,7.0,Good,"Location in the center,but at the same time, calm and quiet, free parking, shops, walking areas, transport stations nearby. Very convenient if you have suitcases, you can do without a taxi","The sofa was in very bad condition, it was almost impossible to sleep. It was a pity that there was no microwave to make it easier to heat up food.
The extractor fan in the bathroom did not turn off for a very long time and made excessive noise.But the price and convenient location compensate for all the shortcomings ))",1,December 2025,One-Bedroom Apartment,Couple,3,Krzyki,Ukraine,2025-12-01,12,Winter,0,0.6808,-0.4754,0.10269999999999999
390998dea6c548a99f6e84d497e46cd6,Deluxe Apartments by The Railway Station Wroclaw - parking w cenie,6.0,Pleasant,The parking for the car and it was very warm,Very bland and poorly decorated,6,October 2025,Duplex Apartment,Family,3,Krzyki,Sweden,2025-10-01,10,Autumn,0,0.2944,0.0,0.1472
705a16b3336431b844f37b13f0ab769a,Deluxe Apartments by The Railway Station Wroclaw - parking w cenie,8.0,Good overnight stay,"The breakfast is provided by a hotel which is approx 500 metres walk. The breakfast was extensive and good quality
The apartment provides all you need for a one night stay",The curtains in the front room do not match the size of the window and so they feel they compromise your privacy and also let the early morning sun into the room,1,September 2025,One-Bedroom Apartment,Couple,3,Krzyki,United Kingdom,2025-09-01,9,Autumn,0,0.4404,0.0,0.2202
d8696c28858ca7ff976bb81874c13bbb,Deluxe Apartments by The Railway Station Wroclaw - parking w cenie,8.0,Spacious appartment,"Great location near the railway station, clean and spacious apartment.",Perhaps my mistake but the check in desk has a different hotel name on it so I walked past it a few times.,2,August 2025,Duplex Apartment,Family,3,Krzyki,United Kingdom,2025-08-01,8,Summer,0,0.7783,-0.1779,0.3002
8ec73f63f007521f1ec5d1ed11a329e6,Deluxe Apartments by The Railway Station Wroclaw - parking w cenie,6.0,Small changes could do wonders,Location: Very close to the train station and you can find parking around in the street relatively easily. Żabka and Biedronka supermarkets were nearby.,"The room is not as described on booking: no Hair dryer, shampoo or body wash, so take your own.
The bathroom needs one more towel for guests to put on the floor to avoid slipping. There's an ironing board, but no iron.
Booking says there is tea and coffee making facilities but there wasn't. Breakfast is available for an extra cost but you should know its in another building. Reception desk is hard to find as it has another name which is confusing and I was told parking was full here but when I arrived the receptionist asked if we wanted to use the parking.
Overall, it's acceptable for a one-night stay, but more than that I'm not sure. Photos here are extremely staged.",1,August 2025,Studio Apartment,Couple,3,Krzyki,Poland,2025-08-01,8,Summer,1,0.34,-0.7538,-0.2069
da086697b1b36efd4d38ad1427a88fe2,Deluxe Apartments by The Railway Station Wroclaw - parking w cenie,7.0,Good for short stays.,"It was very close to the railway station, what was a big advantage and the breakfast was tasty.","It could be more clean, but for one night stay it was okay.",1,June 2025,Studio Apartment,Family,3,Krzyki,Poland,2025-06-01,6,Summer,1,0.25,0.5182,0.3841
f73528e380d33718256006e047883685,Deluxe Apartments by The Railway Station Wroclaw - parking w cenie,8.0,"great for short stay, bring your own kitchen utensils","great location, helpful staff, parking (once you obtain the remote control for the door), clean (minus the balcony), washing machine","poorly equipped kitchen, not enough towels (had to go to the reception to get more towels and the kettle), it's like a big apartment renting building - so you might get unlucky if there are a lot of other tourists - can get loud, and the check-out time in the morning is super crowded [avoid using elevator if possible]",2,August 2025,One-Bedroom Apartment,Family,3,Krzyki,Poland,2025-08-01,8,Summer,1,0.8625,0.7506,0.8065500000000001
b2fcd4aaa759519057f94ba89cc8b905,Deluxe Apartments by The Railway Station Wroclaw - parking w cenie,8.0,I was totally ok for few days of stay,"The location is perfect, of course. Walking distance to the main station and to the city center. The room was good and clean enough. The staff was supportive. There was just one duvet, and we got another one after a request.","The bed was so noisy. It was making noise even when you were just talking. And it was pretty hot in the room, even though the weather wasn't that warm. And the kitchen is missing even simple things, no pan, just one fork, etc.",1,July 2025,Studio Apartment,Group,3,Krzyki,Ukraine,2025-07-01,7,Summer,0,0.8885,-0.4779,0.20529999999999998
70197b9d0e7bc3fea52279a720e30e9e,Deluxe Apartments by The Railway Station Wroclaw - parking w cenie,8.0,Very good,"Good location, parking included, spacious","Beds worn out, quite noisy, no body wash/shampoo",1,July 2025,One-Bedroom Apartment,Family,3,Krzyki,Lithuania,2025-07-01,7,Summer,0,0.4404,-0.688,-0.12379999999999997
d9a5f62d2e55d2cfa2f8268f3c92cb2d,Deluxe Apartments by The Railway Station Wroclaw - parking w cenie,7.0,Good,"Location was great as close to the main station, bus to the airport and Old Town.
Apartament was clean and specious.","There was bread and rolls left from previous customer.
Pillows were not the most comfortable.
A bit noise from the street as the apartment was on the first floor.
Lighting was a bit dark apart from the bathroom.",1,June 2025,Studio Apartment,Solo traveller,3,Krzyki,United Kingdom,2025-06-01,6,Summer,0,0.7783,-0.4439,0.1672
